family,Name,latitude,longitude
Sino-Tibetan,Zhang-Zhung,31.58333333,78.41666667
Sino-Tibetan,Yi,24,104
Sino-Tibetan,Yamphu,27.58333333,87.33333333
Sino-Tibetan,Xiamen,24.5,118.1666667
Sino-Tibetan,Wu (Changzhou),31.66666667,119.9166667
Sino-Tibetan,Wambule,29.25,85.91666667
Sino-Tibetan,Tutsa,27.5,96.5
Sino-Tibetan,Tshangla,27.83333333,92.16666667
Sino-Tibetan,Tod,32.41666667,77.25
Sino-Tibetan,Tinani,32.33333333,77.16666667
Sino-Tibetan,Tibetan (Standard Spoken),30,91
Sino-Tibetan,Tibetan (Shigatse),29,89
Sino-Tibetan,Tibetan (Modern Literary),29.83333333,91.5
Sino-Tibetan,Tibetan (Drokpa),32.25,81.25
Sino-Tibetan,Tibetan (Dingri),28.5,86.5
Sino-Tibetan,Thulung,27.41666667,86.5
Sino-Tibetan,Thangmi,27.75,86
Sino-Tibetan,Thakali,29,83.75
Sino-Tibetan,Thadou,24.41666667,93.91666667
Sino-Tibetan,Tarao,24.25,94.16666667
Sino-Tibetan,Tangbe,28.91666667,83.75
Sino-Tibetan,Tamang (Eastern),27.5,85.66666667
Sino-Tibetan,Taiwanese,25,121.5
Sino-Tibetan,Spitian,32.25,78
Sino-Tibetan,Sikkimese,27.83333333,88.5
Sino-Tibetan,Shigatse,29,89
Sino-Tibetan,Sherpa,27.75,86.83333333
Sino-Tibetan,Sherdukpen,27,92.5
Sino-Tibetan,Sema,26,94.5
Sino-Tibetan,rGyalrong (Caodeng),31.66666667,101.75
Sino-Tibetan,Rawang,27.5,97.5
Sino-Tibetan,Rang Pas,30.33333333,79.33333333
Sino-Tibetan,Ralte,23.75,92.75
Sino-Tibetan,Raji,28,82.75
Sino-Tibetan,Qiang,32,102.6666667
Sino-Tibetan,Purki,34.66666667,76
Sino-Tibetan,Pumi,28,101
Sino-Tibetan,Phlong,15,99
Sino-Tibetan,Pattani,32.75,76.75
Sino-Tibetan,Paite,24,93.16666667
Sino-Tibetan,Nyishi,27.5,93.5
Sino-Tibetan,Nyamkad,32,78.5
Sino-Tibetan,Nusu,26.75,99
Sino-Tibetan,Nocte,27,95.5
Sino-Tibetan,Newari (Kathmandu),27.66666667,85.5
Sino-Tibetan,Newar (Dolakha),27.33333333,86
Sino-Tibetan,Naxi,27.5,100
Sino-Tibetan,Nar-Phu,28.66666667,84.25
Sino-Tibetan,Naga (Zeme),25.16666667,93.5
Sino-Tibetan,Naga (Tangkhul),25,94.5
Sino-Tibetan,Naga (Mao),25.5,94.33333333
Sino-Tibetan,Mizo,23.16666667,92.83333333
Sino-Tibetan,Mising,28.5,94.83333333
Sino-Tibetan,Miri (Hill):,27.91666667,93.83333333
Sino-Tibetan,Milang,28.5,95.25
Sino-Tibetan,Mikir,26.33333333,93.5
Sino-Tibetan,Miju,29,96
Sino-Tibetan,Meithei,24.75,94
Sino-Tibetan,Maru,23.5,98.5
Sino-Tibetan,Marchha,30.25,79.58333333
Sino-Tibetan,Mandarin,34,110
Sino-Tibetan,Manange,28.58333333,84
Sino-Tibetan,Magar (Syangja),28.08333333,83.83333333
Sino-Tibetan,Magar,28,83
Sino-Tibetan,Lungchang,27.5,96.41666667
Sino-Tibetan,Lotha,26.5,94.25
Sino-Tibetan,Lisu,26,98
Sino-Tibetan,Limbu,27.16666667,87.75
Sino-Tibetan,Lhomi,27.66666667,87.41666667
Sino-Tibetan,Lepcha,27.16666667,88.5
Sino-Tibetan,Lalo,25,100.25
Sino-Tibetan,Lai,22.66666667,93.66666667
Sino-Tibetan,Lahu,20,98.16666667
Sino-Tibetan,Ladakhi,34,78
Sino-Tibetan,Kyirong,28.41666667,85.33333333
Sino-Tibetan,Kunming,25,102.75
Sino-Tibetan,Kulung,27.5,87
Sino-Tibetan,Kokborok,24.33333333,92.5
Sino-Tibetan,Kinnauri,31.5,78
Sino-Tibetan,Khumi,21.91666667,92.41666667
Sino-Tibetan,Kham (Tibetan) (Nangchen),32.5,96.5
Sino-Tibetan,Kham (Dege),31.83333333,98.58333333
Sino-Tibetan,Kham,28.5,82.75
Sino-Tibetan,Khaling,27.5,86.66666667
Sino-Tibetan,Kayah Li (Eastern),19,97.5
Sino-Tibetan,Karen (Sgaw),18,97
Sino-Tibetan,Karen (Pwo),13,99.16666667
Sino-Tibetan,Karen (Bwe),19.5,97
Sino-Tibetan,Kanashi,32.08333333,77.25
Sino-Tibetan,Kachari,26.5,91
Sino-Tibetan,Kabui,24.83333333,94
Sino-Tibetan,Jugli,27.5,96.33333333
Sino-Tibetan,Jino,22,101
Sino-Tibetan,Jingpho,25.41666667,97
Sino-Tibetan,Jiarong,31.5,102
Sino-Tibetan,Jad,30.83333333,79
Sino-Tibetan,Idu,29.33333333,95.83333333
Sino-Tibetan,Hyow,22.08333333,92.41666667
Sino-Tibetan,Hokkien,25,118
Sino-Tibetan,Hmar,24.16666667,93
Sino-Tibetan,Hayu,27.25,86
Sino-Tibetan,Hani,23,103
Sino-Tibetan,Hakka,25,116
Sino-Tibetan,Gyarong (Cogtse),31.5,102
Sino-Tibetan,Gurung,28.33333333,84.33333333
Sino-Tibetan,Garo,25.66666667,90.5
Sino-Tibetan,Galo,28.16666667,94.66666667
Sino-Tibetan,Fuzhou,26,119.5
Sino-Tibetan,Dumi,27.25,86.66666667
Sino-Tibetan,Dulong,28,98.33333333
Sino-Tibetan,Dimasa,25.5,93
Sino-Tibetan,Digaro,28.41666667,96
Sino-Tibetan,Dhimal,26.66666667,87.75
Sino-Tibetan,Deuri,26,90.25
Sino-Tibetan,Darma,30,79.75
Sino-Tibetan,Chin (Tiddim),23.33333333,93.66666667
Sino-Tibetan,Chin (Siyin),23.83333333,94
Sino-Tibetan,Chin (Mara),23,93.16666667
Sino-Tibetan,Chepang,27.66666667,84.75
Sino-Tibetan,Chaudangsi,30,80.25
Sino-Tibetan,Chaozhou,23.66666667,116.6666667
Sino-Tibetan,Chantyal,28.58333333,83.41666667
Sino-Tibetan,Chang,26.33333333,94.75
Sino-Tibetan,Cantonese,23,113
Sino-Tibetan,Camling,27,86.66666667
