2019 Federal Election House of Representatives Two Party Preferred By Polling Place [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:52 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581],,,,,,,,,,
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,288,40.79,418,59.21,706,0.93
ACT,318,Bean,93927,BLV Bean PPVC,2,15.38,11,84.62,13,-34.62
ACT,318,Bean,11877,Bonython,504,37.89,826,62.11,1330,0.62
ACT,318,Bean,11452,Calwell,794,42.1,1092,57.9,1886,1.99
ACT,318,Bean,8761,Chapman,804,36.4,1405,63.6,2209,-4.49
ACT,318,Bean,8763,Chisholm,625,43.65,807,56.35,1432,4.05
ACT,318,Bean,93916,City (Bean),26,28.26,66,71.74,92,-6.05
ACT,318,Bean,93922,City BEAN PPVC,888,36.85,1522,63.15,2410,-7.4
ACT,318,Bean,31298,Conder,921,44.8,1135,55.2,2056,6.12
ACT,318,Bean,83835,Conder North,431,46.05,505,53.95,936,6.98
ACT,318,Bean,82523,Coombs,749,35.68,1350,64.32,2099,-3.64
ACT,318,Bean,93906,Curtin (Bean),86,37.39,144,62.61,230,1.11
ACT,318,Bean,93932,Divisional Office (PREPOLL),33,44.59,41,55.41,74,44.59
ACT,318,Bean,8767,Duffy,493,28.76,1221,71.24,1714,-6.14
ACT,318,Bean,8768,Fadden,759,45.18,921,54.82,1680,-2.69
ACT,318,Bean,8769,Farrer,895,41.17,1279,58.83,2174,-3.6
ACT,318,Bean,93913,Garran (Bean),190,40.51,279,59.49,469,-2.87
ACT,318,Bean,8771,Gilmore,691,44.52,861,55.48,1552,2.18
ACT,318,Bean,12072,Gordon,1068,42.7,1433,57.3,2501,2.99
ACT,318,Bean,83837,Gordon North,275,51.69,257,48.31,532,12.59
ACT,318,Bean,8772,Gowrie,647,43.08,855,56.92,1502,2.22
ACT,318,Bean,97445,Greenway,559,43.23,734,56.77,1293,6.09
ACT,318,Bean,93929,Gungahlin BEAN PPVC,177,51.6,166,48.4,343,7.29
ACT,318,Bean,8773,Holder,668,40.41,985,59.59,1653,-1.47
ACT,318,Bean,93908,Hughes (Bean),92,43.19,121,56.81,213,3
ACT,318,Bean,8884,Isabella Plains,731,42.21,1001,57.79,1732,5.34
ACT,318,Bean,8776,Kambah North,543,38.16,880,61.84,1423,1.09
ACT,318,Bean,8777,Kambah South,641,34.7,1206,65.3,1847,0.25
ACT,318,Bean,8778,Kambah West,881,39.83,1331,60.17,2212,0.95
ACT,318,Bean,93909,Lyons (Bean),124,33.97,241,66.03,365,-2.79
ACT,318,Bean,8780,Mawson,701,38.86,1103,61.14,1804,0.22
ACT,318,Bean,8781,Monash,806,43.76,1036,56.24,1842,1.97
ACT,318,Bean,65739,Norfolk Island,145,52.54,131,47.46,276,3.16
ACT,318,Bean,66153,Norfolk Island PPVC,157,57.3,117,42.7,274,-4.15
ACT,318,Bean,93926,Other Mobile Team 1,5,41.67,7,58.33,12,8.34
ACT,318,Bean,93928,Parkes (Bean),130,23.99,412,76.01,542,-11.23
ACT,318,Bean,97479,Parkes BEAN PPVC,350,36.92,598,63.08,948,36.92
ACT,318,Bean,8784,Pearce,808,38.24,1305,61.76,2113,-1.77
ACT,318,Bean,8786,Richardson,529,43.9,676,56.1,1205,7.72
ACT,318,Bean,93921,Special Hospital Team 1,70,52.24,64,47.76,134,10.69
ACT,318,Bean,93923,Special Hospital Team 2,75,65.22,40,34.78,115,23.77
ACT,318,Bean,93924,Special Hospital Team 3,47,46.53,54,53.47,101,5.13
ACT,318,Bean,8788,Tharwa,55,49.11,57,50.89,112,-3.16
ACT,318,Bean,11878,Theodore,634,44.15,802,55.85,1436,5.73
ACT,318,Bean,32704,Tuggeranong BEAN PPVC,8200,48.46,8722,51.54,16922,4.18
ACT,318,Bean,8790,Wanniassa,658,41.72,919,58.28,1577,3.09
