sa2_maincode_2016,p_tot_total,p_pgrad_deg_total,p_graddip_and_gradcert_total,p_bachdeg_total,p_advdip_and_dip_total,p_cert_iii_iv_total,p_cert_i_ii_total,p_cert_lev_tot_total,post_grad_degree_percent,post_grad_dip_cert_percent,bach_degree_percent,diploma_percent,certificate_percent,bach_post_grad_percent
101021007,2155,170,77,413,274,558,38,685,0.07888631090487239,0.0357308584686775,0.19164733178654292,0.1271461716937355,0.31786542923433875,0.3062645011600928
101021008,3543,197,127,584,553,1254,85,1478,0.055602596669489135,0.0358453288173864,0.16483206322325714,0.15608241603161163,0.41716059836296926,0.25627998871013263
101021009,5563,464,215,1281,805,1483,121,1774,0.08340823296782311,0.03864821139672838,0.23027143627539098,0.14470609383426208,0.31889268380370306,0.35232788063994247
101021010,2498,284,89,645,384,643,65,765,0.11369095276220977,0.03562850280224179,0.25820656525220176,0.15372297838270615,0.30624499599679744,0.40752602081665334
101021011,9241,921,470,2081,1464,2261,146,2671,0.09966453846986256,0.05086029650470728,0.22519207877935288,0.15842441294232226,0.28903798290228333,0.37571691375392274
101021012,6100,737,328,1483,1092,1574,98,1848,0.12081967213114754,0.05377049180327869,0.24311475409836067,0.17901639344262296,0.30295081967213117,0.41770491803278686
101031013,1011,21,16,162,131,376,30,444,0.020771513353115726,0.01582591493570722,0.16023738872403562,0.12957467853610286,0.4391691394658754,0.19683481701285854
101031014,3424,120,82,510,418,1105,82,1317,0.035046728971962614,0.02394859813084112,0.14894859813084113,0.12207943925233646,0.3846378504672897,0.20794392523364486
101031015,1720,74,34,316,234,545,43,660,0.04302325581395349,0.019767441860465116,0.18372093023255814,0.13604651162790699,0.38372093023255816,0.24651162790697675
101031016,3903,178,99,724,561,1372,91,1611,0.04560594414552908,0.02536510376633359,0.18549833461439919,0.14373558800922367,0.41275941583397385,0.25646938252626184
101041017,3612,96,103,440,467,1290,91,1577,0.026578073089700997,0.02851605758582503,0.12181616832779624,0.12929125138427464,0.4366002214839424,0.17691029900332225
101041018,4249,170,135,665,604,1376,95,1683,0.04000941397975994,0.031772181689809366,0.15650741350906094,0.14215109437514709,0.3960931983996234,0.22828900917863026
101041019,4004,164,138,762,526,1278,104,1510,0.04095904095904096,0.034465534465534464,0.1903096903096903,0.13136863136863136,0.3771228771228771,0.26573426573426573
101041020,4641,191,177,821,642,1573,134,1909,0.041154923507864684,0.03813833225597932,0.17690152984270632,0.1383322559793148,0.4113337642749407,0.2561947856065503
101041021,1797,74,92,352,255,568,25,659,0.041179744017807454,0.051196438508625486,0.19588202559821927,0.1419031719532554,0.36672231496939345,0.2882582081246522
101041022,16,0,0,6,3,3,0,3,0.0,0.0,0.375,0.1875,0.1875,0.375
101041023,1460,37,28,176,177,479,47,587,0.025342465753424658,0.019178082191780823,0.12054794520547946,0.12123287671232877,0.40205479452054793,0.16506849315068492
101041024,1760,69,47,256,250,677,46,806,0.03920454545454546,0.026704545454545453,0.14545454545454545,0.14204545454545456,0.45795454545454545,0.21136363636363636
101041025,5549,201,191,988,801,1788,127,2180,0.036222742836547125,0.034420616327266174,0.17805009911695802,0.14435033339340422,0.3928635790232474,0.2486934582807713
101041026,4186,176,141,674,618,1434,98,1729,0.042044911610129,0.03368370759675107,0.1610129001433349,0.14763497372193024,0.41304347826086957,0.236741519350215
101041027,4804,190,166,774,656,1534,109,1875,0.0395503746877602,0.03455453788509576,0.1611157368859284,0.13655287260616153,0.3902997502081599,0.23522064945878435
101051539,10784,358,251,1417,1573,3657,282,4368,0.0331973293768546,0.023275222551928782,0.13139836795252224,0.14586424332344214,0.4050445103857567,0.18787091988130564
101051540,6231,243,157,909,908,2195,130,2606,0.038998555609051515,0.025196597656876905,0.14588348579682234,0.14572299791365753,0.4182314235275237,0.21007863906275076
101061541,3097,142,100,612,419,951,65,1147,0.04585082337746206,0.03228931223764934,0.19761059089441396,0.13529221827575072,0.3703584113658379,0.27575072650952537
101061542,6011,587,321,1493,919,1522,96,1792,0.09765430044917651,0.053402096157045414,0.2483779737148561,0.1528863749792048,0.2981201131259358,0.39943437032107804
101061543,4317,86,84,629,548,1630,120,1952,0.01992124160296502,0.019457956914523976,0.14570303451470928,0.12694000463284688,0.45216585591846187,0.18508223303219828
101061544,3193,79,52,486,458,1077,100,1305,0.02474162229877858,0.016285624804259317,0.1522079549013467,0.14343877231443783,0.40870654556843095,0.1932352020043846
102011028,3947,277,154,1078,716,1054,64,1274,0.07017988345578921,0.03901697491765898,0.27311882442361285,0.1814035976691158,0.3227767925006334,0.3823156827970611
102011029,5627,327,201,1268,969,1739,96,2084,0.058112671050293226,0.03572063266394171,0.22534210058645815,0.17220543806646527,0.37035720632663943,0.3191754043006931
102011030,2451,109,56,444,383,741,61,914,0.044471644226846185,0.02284781721746226,0.18115055079559364,0.15626274989800082,0.3729090167278662,0.2484700122399021
102011031,7020,415,199,1536,1183,1895,133,2316,0.05911680911680912,0.028347578347578346,0.2188034188034188,0.1685185185185185,0.3299145299145299,0.30626780626780625
102011032,9827,587,232,2311,1570,2744,215,3331,0.05973338760557647,0.02360842576574743,0.23516841355449272,0.15976391574234253,0.33896407855907196,0.31851022692581665
102011033,3012,109,60,511,545,1054,86,1275,0.03618857901726428,0.0199203187250996,0.1696547144754316,0.1809428950863214,0.42330677290836655,0.22576361221779548
102011034,3521,150,94,653,560,1221,78,1504,0.04260153365521159,0.026696961090599262,0.18545867651235445,0.15904572564612326,0.4271513774495882,0.25475717125816527
102011035,3198,165,90,647,545,1169,70,1368,0.051594746716697934,0.028142589118198873,0.20231394621638524,0.17041901188242653,0.4277673545966229,0.28205128205128205
102011036,3853,189,113,821,669,1365,74,1600,0.04905268621853102,0.029327796522190502,0.2130807163249416,0.1736309369322606,0.4152608357124319,0.29146119906566315
102011037,3234,217,103,747,591,959,57,1154,0.0670995670995671,0.031849103277674706,0.23098330241187384,0.18274582560296845,0.35683364254792826,0.3299319727891156
102011038,3550,138,95,688,624,1299,75,1543,0.038873239436619716,0.02676056338028169,0.19380281690140846,0.17577464788732394,0.43464788732394366,0.25943661971830984
102011039,7209,526,263,2005,1237,1887,130,2301,0.07296435011790817,0.03648217505895408,0.27812456651407963,0.17159106672215285,0.3191843528922181,0.3875710916909419
102011040,11255,495,237,1724,1737,3898,277,4717,0.043980453131941356,0.021057307863171924,0.15317636605952908,0.1543314082629942,0.4191026210573079,0.21821412705464238
102011041,5094,304,179,1305,894,1500,70,1777,0.0596780526109148,0.03513937966234786,0.25618374558303886,0.17550058892815076,0.34884177463682764,0.3510011778563015
102011042,6560,321,162,1087,980,2148,173,2600,0.048932926829268295,0.024695121951219513,0.16570121951219513,0.14939024390243902,0.39634146341463417,0.23932926829268292
102011043,5511,210,116,944,918,1801,150,2158,0.03810560696788242,0.021048811467973143,0.17129377608419524,0.16657593903102885,0.39158047541281077,0.2304481945200508
102021044,10172,278,182,1594,1541,3863,253,4577,0.027329925285096344,0.017892253244199765,0.15670467951238695,0.15149429807314196,0.4499606763664963,0.20192685804168306
102021045,4123,42,44,365,568,2002,147,2338,0.010186757215619695,0.010671840892553965,0.0885277710405045,0.137763764249333,0.567062818336163,0.10938636914867815
102021046,4223,75,64,452,607,1852,127,2178,0.017759886336727444,0.015155103007340753,0.10703291498934407,0.14373668008524745,0.515747099218565,0.13994790433341225
102021047,7083,230,157,1111,1172,2888,176,3422,0.03247211633488635,0.02216574897642242,0.156854440208951,0.16546661019342088,0.48312861781730904,0.21149230552025977
102021048,9579,169,132,972,1250,3799,269,4507,0.01764276020461426,0.013780144065142498,0.10147196993423113,0.13049378849566762,0.4705084037999791,0.13289487420398788
102021049,1731,84,44,325,287,534,25,651,0.04852686308492201,0.025418833044482957,0.1877527440785673,0.1658001155401502,0.37608318890814557,0.2616984402079723
102021050,4769,80,63,500,653,2097,141,2467,0.01677500524218914,0.013210316628223947,0.10484378276368211,0.13692598028936884,0.5172992241560076,0.1348291046340952
102021051,2414,134,64,554,433,803,52,943,0.05550952775476388,0.026512013256006627,0.22949461474730737,0.17937033968516986,0.39063794531897267,0.3115161557580779
102021052,2541,52,40,274,345,1255,66,1451,0.02046438410074774,0.015741833923652106,0.10783156237701692,0.1357733175914994,0.5710350255804801,0.14403778040141677
102021053,7067,224,154,1055,1036,2450,176,2949,0.031696618084052636,0.02179142493278619,0.14928541106551577,0.14659685863874344,0.41729163718692514,0.20277345408235461
102021054,4559,95,85,539,628,1757,101,2052,0.020837903048914235,0.018644439570081158,0.11822768150910287,0.13774950647071726,0.4500987058565475,0.15771002412809826
102021055,2413,98,46,470,378,841,66,1006,0.04061334438458351,0.019063406547865726,0.19477828429341068,0.15665147119767925,0.41690841276419394,0.25445503522585994
102021056,6255,216,118,938,1116,2507,171,2970,0.034532374100719423,0.018864908073541166,0.14996003197442045,0.17841726618705037,0.4748201438848921,0.20335731414868105
102021057,3733,85,60,482,543,1423,118,1707,0.02276989016876507,0.016072863648540048,0.1291186713099384,0.14545941601928744,0.45727297080096435,0.1679614251272435
103011058,11924,641,371,2368,1517,3550,307,4323,0.05375712848037571,0.03111372022811137,0.1985910768198591,0.12722240858772224,0.3625461254612546,0.2834619255283462
103011059,4953,171,152,874,700,1871,139,2217,0.034524530587522716,0.030688471633353524,0.17645871189178275,0.1413284877851807,0.4476075105996366,0.241671714112659
103011060,3840,155,145,575,494,1191,79,1430,0.040364583333333336,0.037760416666666664,0.14973958333333334,0.12864583333333332,0.3723958333333333,0.22786458333333334
103011061,2134,47,35,244,243,707,76,883,0.022024367385192128,0.01640112464854733,0.11433926897844424,0.11387066541705718,0.41377694470477977,0.1527647610121837
103021062,2562,34,58,341,290,768,96,961,0.01327088212334114,0.02263856362217018,0.13309914129586262,0.1131928181108509,0.3750975800156128,0.16900858704137392
103021063,3774,67,77,497,447,1396,116,1684,0.01775304716481187,0.020402755696873345,0.13169051404345522,0.11844197138314785,0.4462109167991521,0.16984631690514043
103021064,2378,50,45,378,346,851,71,1020,0.021026072329688814,0.01892346509671993,0.15895710681244743,0.1455004205214466,0.4289318755256518,0.19890664423885618
103021065,4322,94,80,615,543,1499,135,1822,0.02174919018972698,0.01850994909763998,0.14229523368810737,0.12563627950023137,0.42156409069875056,0.1825543729754743
103021066,1596,31,27,234,205,521,61,648,0.019423558897243107,0.016917293233082706,0.14661654135338345,0.12844611528822056,0.40601503759398494,0.18295739348370926
103021067,4736,102,88,645,526,1759,163,2114,0.02153716216216216,0.018581081081081082,0.13619087837837837,0.11106418918918919,0.44636824324324326,0.17630912162162163
103021068,1468,33,25,188,174,516,35,624,0.022479564032697547,0.0170299727520436,0.12806539509536785,0.11852861035422343,0.4250681198910082,0.167574931880109
