sa2_maincode_2016,negative_nil_income_tot,hi_1_149_tot,hi_150_299_tot,hi_300_399_tot,hi_400_499_tot,hi_500_649_tot,hi_650_799_tot,hi_800_999_tot,hi_1000_1249_tot,hi_1250_1499_tot,hi_1500_1749_tot,hi_1750_1999_tot,hi_2000_2499_tot,hi_2500_2999_tot,hi_3000_3499_tot,hi_3500_3999_tot,hi_4000_more_tot,tot_tot,hi_negative_nil_percent,hi_1_149_percent,hi_150_299_percent,hi_300_399_percent,hi_400_499_percent,hi_500_649_percent,hi_650_799_percent,hi_800_999_percent,hi_1000_1249_percent,hi_1250_1499_percent,hi_1500_1749_percent,hi_1750_1999_percent,hi_2000_2449_percent,hi_2500_2999_percent,hi_3000_3449_percent,hi_3500_3999_percent,hi_4000_more_percent
101021007,17,20,33,59,154,83,131,104,119,96,69,74,122,64,45,34,62,1453,0.01169993117687543,0.013764624913971095,0.022711631108052306,0.040605643496214726,0.10598761183757742,0.05712319339298004,0.09015829318651067,0.07157604955264969,0.08189951823812801,0.06607019958706126,0.047487955953200274,0.05092911218169305,0.08396421197522368,0.0440467997247075,0.030970406056434963,0.02339986235375086,0.042670337233310394
101021008,22,13,55,88,176,97,186,179,207,190,169,189,341,238,187,131,217,2963,0.007424907188660142,0.004387445156935539,0.018562267971650354,0.029699628754640568,0.059399257509281135,0.03273709078636517,0.06277421532230847,0.060411744853189335,0.06986162672966588,0.0641241984475194,0.057036787040162,0.06378670266621667,0.1150860614242322,0.08032399595005063,0.0631117111036112,0.044211947350658115,0.07323658454269322
101021009,42,32,91,146,303,205,328,329,429,407,366,302,519,281,185,146,182,4621,0.009088941787491886,0.006924908028565245,0.019692707206232417,0.031594892880328934,0.06557022289547718,0.0443626920579961,0.07098030729279377,0.07119671066868644,0.09283704825795282,0.08807617398831422,0.079203635576715,0.06535381951958451,0.11231335208829257,0.06080934862583856,0.040034624540142824,0.031594892880328934,0.039385414412464834
101021010,22,7,30,69,105,89,126,142,212,181,134,120,241,111,92,76,126,2030,0.01083743842364532,0.0034482758620689655,0.014778325123152709,0.03399014778325123,0.05172413793103448,0.04384236453201971,0.06206896551724138,0.06995073891625615,0.10443349753694581,0.08916256157635467,0.06600985221674877,0.059113300492610835,0.1187192118226601,0.054679802955665026,0.04532019704433497,0.0374384236453202,0.06206896551724138
101021011,40,17,48,43,138,92,133,181,273,248,274,264,627,483,457,435,928,5243,0.007629219912263971,0.0032424184627121875,0.009155063894716766,0.008201411405683768,0.0263208086973107,0.017547205798207132,0.025367156208277702,0.034522220102994466,0.0520694259012016,0.04730116345603662,0.052260156399008204,0.05035285142094221,0.11958802212473775,0.09212283044058744,0.08716383749761587,0.08296776654587068,0.17699790196452414
101021012,26,12,38,48,96,70,114,140,184,202,208,220,526,393,330,347,766,4145,0.006272617611580217,0.0028950542822677927,0.00916767189384801,0.01158021712907117,0.02316043425814234,0.016887816646562123,0.027503015681544028,0.033775633293124246,0.04439083232810615,0.04873341375150784,0.05018094089264174,0.05307599517490953,0.12689987937273825,0.09481302774427021,0.07961399276236429,0.08371531966224367,0.1848009650180941
101031013,16,15,38,36,92,49,74,80,90,77,46,51,73,44,16,19,19,949,0.01685985247629083,0.015806111696522657,0.040042149631190724,0.037934668071654375,0.09694415173867228,0.051633298208640675,0.0779768177028451,0.08429926238145416,0.09483667017913593,0.08113804004214963,0.04847207586933614,0.05374077976817703,0.07692307692307693,0.04636459430979979,0.01685985247629083,0.020021074815595362,0.020021074815595362
101031014,23,25,83,132,277,155,283,213,220,188,142,142,216,109,58,56,66,2707,0.008496490579977835,0.009235315847801994,0.030661248614702624,0.048762467676394534,0.1023272995936461,0.057258958256372366,0.10454377539711858,0.078684891023273,0.08127077946065756,0.069449575175471,0.05245659401551533,0.05245659401551533,0.07979312892500924,0.040265977096416695,0.021425932766900628,0.020687107499076467,0.024381233838197267
101031015,16,14,24,48,92,65,113,92,101,96,68,67,100,75,49,32,54,1218,0.013136288998357963,0.011494252873563218,0.019704433497536946,0.03940886699507389,0.0755336617405583,0.053366174055829226,0.09277504105090312,0.0755336617405583,0.08292282430213464,0.07881773399014778,0.05582922824302135,0.055008210180623976,0.08210180623973727,0.06157635467980296,0.040229885057471264,0.026272577996715927,0.04433497536945813
101031016,20,15,41,64,120,132,179,165,205,193,159,128,286,157,92,70,87,2380,0.008403361344537815,0.0063025210084033615,0.017226890756302522,0.02689075630252101,0.05042016806722689,0.05546218487394958,0.07521008403361344,0.06932773109243698,0.0861344537815126,0.08109243697478992,0.06680672268907563,0.05378151260504202,0.12016806722689076,0.06596638655462185,0.03865546218487395,0.029411764705882353,0.0365546218487395
