sa2_maincode_2016,buddhism_p,christianity_anglican_p,christianity_baptist_p,christianity_catholic_p,christianity_eastrn_orthdox_p,christianity_uniting_church_p,christianity_tot_p,hinduism_p,islam_p,judaism_p,other_religions_tot_p,sb_osb_nra_tot_p,tot_p,buddhism_percent,christianity_anglican_percent,christianity_baptist_percent,christianity_catholic_percent,christianity_eastrn_orthdox_percent,christianity_uniting_church_percent,christianity_tot_percent,hinduism_percent,islam_percent,judaism_percent,other_religions_percent,no_religion_percent
101021007,34,731,11,821,21,109,1879,0,0,0,21,1365,3872,0.00878099173553719,0.18879132231404958,0.002840909090909091,0.21203512396694216,0.005423553719008265,0.02815082644628099,0.4852789256198347,0.0,0.0,0.0,0.005423553719008265,0.3525309917355372
101021008,80,1467,56,2523,367,244,5299,54,54,3,62,2024,8247,0.009700497150478962,0.17788286649690796,0.006790348005335274,0.30592942888323027,0.04450103067782224,0.029586516308960833,0.6425366800048502,0.0065478355765733,0.0065478355765733,0.0003637686431429611,0.007517885291621195,0.24542257790711774
101021009,135,1480,81,2644,422,226,5658,331,261,10,223,3088,10842,0.012451577199778638,0.1365061796716473,0.007470946319867183,0.24386644530529422,0.03892270798745619,0.020844862571481278,0.5218594355285002,0.03052942261575355,0.02407304925290537,0.0009223390518354548,0.02056816085593064,0.2848182992067884
101021010,50,625,36,1197,110,106,2511,153,186,8,126,1313,4786,0.010447137484329294,0.13058921855411618,0.007521938988717091,0.2501044713748433,0.022983702465524447,0.0221479314667781,0.5246552444630171,0.03196824070204764,0.038863351441704976,0.001671541997492687,0.02632678646050982,0.27434183033848725
101021011,95,2954,178,4281,177,435,9085,51,38,4,99,5503,16946,0.005606042723946654,0.17431842322672017,0.010503953735394783,0.2526259884338487,0.01044494275935324,0.02566977457807152,0.5361147173374248,0.0030095597781187302,0.002242417089578662,0.00023604390416617492,0.005842086628112829,0.32473740115661515
101021012,93,2168,107,3922,359,371,7946,93,99,13,84,3475,12643,0.007355849086451,0.17147828838092224,0.008463181206992012,0.31021118405441744,0.028395159376730206,0.029344301194336786,0.6284900735584908,0.007355849086451,0.00783041999525429,0.0010282369690737957,0.006643992723246065,0.2748556513485723
101031013,9,766,12,551,24,58,1646,0,0,0,9,518,2390,0.0037656903765690376,0.3205020920502092,0.00502092050209205,0.2305439330543933,0.0100418410041841,0.024267782426778243,0.6887029288702929,0.0,0.0,0.0,0.0037656903765690376,0.21673640167364017
101031014,70,1266,165,1772,65,151,3920,5,42,3,24,1795,6742,0.010382675763868289,0.1877781073865322,0.024473450014832393,0.2628300207653515,0.009641056066449124,0.022396914862058737,0.5814298427766241,0.0007416196974191634,0.006229605458320973,0.0004449718184514981,0.0035597745476119848,0.2662414713734797
101031015,18,716,86,831,19,102,1958,3,14,3,18,864,3280,0.00548780487804878,0.21829268292682927,0.02621951219512195,0.25335365853658537,0.005792682926829268,0.031097560975609756,0.5969512195121951,0.0009146341463414635,0.00426829268292683,0.0009146341463414635,0.00548780487804878,0.2634146341463415
101031016,88,1201,76,1396,32,237,3274,5,18,10,29,2694,6951,0.012660048913825349,0.1727808948352755,0.01093367860739462,0.20083441231477486,0.004603654150481945,0.03409581355200691,0.471011365271184,0.0007193209610128039,0.002589555459646094,0.0014386419220256078,0.004172061573874263,0.38757013379369876
101041017,53,1830,82,1719,74,263,4587,17,18,4,31,2207,7692,0.006890275611024441,0.23790951638065522,0.010660426417056681,0.2234789391575663,0.009620384815392615,0.034191367654706185,0.5963338533541341,0.0022100884035361414,0.00234009360374415,0.0005200208008320333,0.004030161206448258,0.2869214768590744
101041018,62,1938,88,1999,43,301,5024,14,7,3,38,2309,8358,0.007418042593921991,0.23187365398420676,0.010528834649437664,0.23917205072983969,0.005144771476429768,0.036013400335008376,0.6011007418042594,0.0016750418760469012,0.0008375209380234506,0.0003589375448671931,0.004546542234984446,0.2762622636994496
101041019,84,1802,80,1645,14,333,4419,20,13,4,20,2972,8405,0.009994051160023795,0.21439619274241523,0.009518143961927425,0.19571683521713265,0.0016656751933372992,0.0396192742415229,0.5257584770969661,0.002379535990481856,0.0015466983938132064,0.0004759071980963712,0.002379535990481856,0.3535990481856038
101041020,103,1781,71,1317,16,274,4126,11,7,10,55,3519,8793,0.011713863300352553,0.20254748095075628,0.008074604799272148,0.1497782326850904,0.0018196292505402024,0.031161150915500965,0.4692368929830547,0.0012509951097463892,0.0007960877971113385,0.0011372682815876266,0.006254975548731946,0.4002047082906858
101041021,30,683,27,652,13,119,1728,0,3,3,11,1159,3285,0.0091324200913242,0.20791476407914763,0.00821917808219178,0.1984779299847793,0.0039573820395738205,0.036225266362252664,0.5260273972602739,0.0,0.0009132420091324201,0.0009132420091324201,0.0033485540334855404,0.3528158295281583
101041022,0,7,0,0,0,3,6,0,0,0,0,9,25,0.0,0.28,0.0,0.0,0.0,0.12,0.24,0.0,0.0,0.0,0.0,0.36
101041023,19,793,24,607,16,99,1786,5,3,3,10,1022,3216,0.005907960199004975,0.24657960199004975,0.007462686567164179,0.18874378109452736,0.004975124378109453,0.030783582089552237,0.5553482587064676,0.001554726368159204,0.0009328358208955224,0.0009328358208955224,0.003109452736318408,0.3177860696517413
