sa2_maincode_2016,p_tot_marrd_reg_marrge,p_tot_married_de_facto,p_tot_not_married,p_tot_total,registered_marriage_percent,defacto_percent,not_married_percent
101021007,1301,376,942,2616,0.49732415902140675,0.1437308868501529,0.36009174311926606
101021008,2665,719,2657,6044,0.44093315684976836,0.11896095301125083,0.43960953011250825
101021009,3036,916,3883,7837,0.38739313512823786,0.11688145974224831,0.4954702054357535
101021010,1490,458,1589,3548,0.41995490417136416,0.12908680947012402,0.44785794813979707
101021011,6740,1465,3303,11505,0.585832246849196,0.12733594089526293,0.2870925684485007
101021012,4948,855,3165,8969,0.5516780020069127,0.09532835321663508,0.3528821496264912
101031013,824,200,644,1674,0.4922341696535245,0.11947431302270012,0.3847072879330944
101031014,2103,489,2125,4714,0.4461179465422147,0.10373355960967331,0.4507848960543063
101031015,1306,291,729,2320,0.5629310344827586,0.1254310344827586,0.3142241379310345
101031016,2015,674,1768,4458,0.4519964109466128,0.15118887393449978,0.3965903992821893
101041017,2549,605,2294,5447,0.4679640168900312,0.11107031393427574,0.4211492564714522
101041018,3044,646,2361,6043,0.5037233162336587,0.10690054608638094,0.39069998345192786
101041019,2718,789,2313,5824,0.46668956043956045,0.1354739010989011,0.39714972527472525
101041020,3145,983,2213,6338,0.49621331650362893,0.15509624487219945,0.34916377406121807
101041021,1207,210,889,2307,0.5231902904204595,0.09102730819245773,0.38534893801473774
101041022,5,3,11,17,0.29411764705882354,0.17647058823529413,0.6470588235294118
101041023,992,269,966,2222,0.4464446444644464,0.12106210621062106,0.43474347434743477
101041024,1169,377,912,2461,0.47501015847216577,0.1531897602600569,0.370581064607883
101041025,3932,923,2846,7695,0.5109811565951917,0.11994801819363222,0.36985055230669267
101041026,3039,659,2327,6020,0.5048172757475083,0.10946843853820598,0.38654485049833887
101041027,3254,826,2478,6560,0.49603658536585366,0.12591463414634146,0.3777439024390244
101051539,7070,1712,7043,15828,0.4466767753348496,0.10816274955774577,0.444970937578974
101051540,5023,848,3121,8996,0.5583592707870164,0.09426411738550466,0.3469319697643397
101061541,2225,547,1731,4504,0.49400532859680285,0.12144760213143872,0.38432504440497334
101061542,4764,887,2438,8085,0.5892393320964749,0.10970933828076686,0.3015460729746444
101061543,3423,701,3090,7219,0.4741653968693725,0.09710486216927552,0.42803712425543705
101061544,2706,579,2012,5294,0.5111446921042689,0.10936909709104647,0.38005289006422366
102011028,2792,472,1916,5178,0.5392043259945926,0.09115488605639242,0.3700270374662032
102011029,4428,771,2919,8119,0.545387362975736,0.09496243379726567,0.35952703534918096
102011030,1684,376,1340,3402,0.4950029394473839,0.11052322163433274,0.393885949441505
102011031,5419,682,4127,10227,0.5298719076953163,0.0666862227437176,0.40353964994622077
102011032,5581,1569,6744,13897,0.4015974670792257,0.11290206519392675,0.48528459379722244
102011033,2261,487,1707,4452,0.5078616352201258,0.10938903863432166,0.3834231805929919
102011034,2742,422,2350,5519,0.4968291357129915,0.07646312737814821,0.42580177568400074
102011035,2425,518,2013,4954,0.4895034315704481,0.1045619701251514,0.40633831247476787
102011036,3003,578,2234,5814,0.5165118679050568,0.09941520467836257,0.3842449260405917
102011037,2316,489,1916,4728,0.48984771573604063,0.1034263959390863,0.40524534686971236
102011038,2737,518,1861,5120,0.5345703125,0.101171875,0.3634765625
102011039,5179,930,3866,9972,0.5193541917368633,0.09326113116726835,0.38768551945447255
102011040,7379,2027,8250,17653,0.41800260578938425,0.11482467569251685,0.46734266130402763
102011041,3909,619,2408,6937,0.5635000720772668,0.08923165633559176,0.34712411705348134
102011042,4266,1180,5104,10548,0.4044368600682594,0.11186954872961699,0.4838832006067501
102011043,3575,883,3699,8162,0.4380053908355795,0.10818426856162705,0.45319774565057586
102021044,7191,1604,7016,15817,0.45463741543908454,0.10140987545046469,0.4435733704242271
102021045,3226,1027,3599,7856,0.41064154786150714,0.13072810590631365,0.4581211812627291
102021046,3083,845,3109,7034,0.4382996872334376,0.12013079328973557,0.4419960193346602
102021047,5559,1264,4399,11224,0.49527797576621524,0.11261582323592302,0.391928011404134
