sa2_maincode_2016,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_tot,home_percent,established_percent,recent_percent,new_percent
101021007,0,29,64,107,80,51,41,30,4,5,8,4,13,4,460,0.43478260869565216,0.2847826086956522,0.15434782608695652,0.08260869565217391
101021008,0,68,177,289,144,174,162,136,34,30,23,22,25,15,1322,0.4039334341906203,0.2405446293494705,0.2254160363086233,0.11270801815431165
101021009,3,173,260,299,152,197,269,544,101,105,124,142,136,79,2680,0.27425373134328357,0.13022388059701492,0.30335820895522386,0.2563432835820896
101021010,0,50,81,123,78,107,115,277,35,44,46,90,75,40,1189,0.21362489486963834,0.15559293523969722,0.3296888141295206,0.27754415475189237
101021011,0,126,299,490,287,256,266,199,45,50,38,30,30,22,2205,0.41496598639455784,0.24625850340136055,0.2108843537414966,0.09750566893424037
101021012,0,59,185,357,229,294,347,231,53,29,42,59,39,8,1988,0.3023138832997988,0.2630784708249497,0.29074446680080485,0.11569416498993963
101031013,3,15,33,56,19,18,16,9,0,0,0,3,5,0,192,0.5572916666666666,0.19270833333333334,0.13020833333333334,0.041666666666666664
101031014,4,135,162,179,85,92,84,56,6,15,3,7,19,3,977,0.49129989764585463,0.1811668372569089,0.14329580348004095,0.05424769703172978
101031015,0,39,91,126,52,39,24,20,4,0,0,3,5,0,408,0.6274509803921569,0.22303921568627452,0.10784313725490197,0.029411764705882353
101031016,3,66,110,162,90,97,101,73,17,17,25,34,31,24,917,0.3718647764449291,0.2039258451472192,0.18974918211559433,0.1613958560523446
101041017,5,137,232,274,128,98,63,49,5,13,9,5,7,3,1087,0.5961361545538179,0.20791168353265868,0.10303587856485741,0.03863845446182153
101041018,12,171,269,312,127,81,95,62,10,15,16,28,8,12,1257,0.6077963404932378,0.1654733492442323,0.1249005568814638,0.07080350039777247
101041019,3,76,115,141,86,84,78,60,18,12,24,8,11,3,741,0.45209176788124156,0.22941970310391363,0.1862348178137652,0.10256410256410256
101041020,0,83,204,247,191,102,76,36,8,0,4,0,0,5,1015,0.5261083743842364,0.28866995073891627,0.1103448275862069,0.016748768472906402
101041021,10,71,82,104,29,31,39,21,3,4,0,3,0,0,399,0.6691729323308271,0.15037593984962405,0.15037593984962405,0.02506265664160401
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
101041023,0,54,71,85,34,32,15,18,6,3,5,4,0,3,352,0.5965909090909091,0.1875,0.09375,0.05965909090909091
101041024,3,44,77,96,34,35,19,6,4,3,5,0,0,0,353,0.623229461756374,0.1954674220963173,0.0708215297450425,0.0339943342776204
101041025,18,176,293,310,168,100,117,95,10,26,20,10,16,13,1431,0.556953179594689,0.1872816212438854,0.14814814814814814,0.06638714185883997
101041026,9,129,221,296,112,73,59,44,10,13,5,14,5,0,1022,0.6409001956947162,0.18101761252446183,0.10078277886497064,0.04598825831702544
101041027,11,174,271,274,154,102,90,29,3,9,8,7,11,5,1196,0.6103678929765887,0.2140468227424749,0.09949832775919733,0.03595317725752508
101051539,3,128,211,329,171,172,192,317,53,48,50,83,99,59,2143,0.31311245916938873,0.16005599626691555,0.2375174988334111,0.18292113859076062
101051540,9,96,206,306,131,101,80,79,20,18,12,15,16,7,1140,0.5412280701754386,0.20350877192982456,0.1394736842105263,0.07719298245614035
101061541,3,47,66,104,51,50,77,52,16,17,9,14,13,3,528,0.4166666666666667,0.19128787878787878,0.24431818181818182,0.13636363636363635
101061542,6,107,150,303,178,145,190,100,25,12,12,11,7,14,1282,0.4414976599063963,0.25195007800312014,0.22620904836193448,0.06318252730109204
101061543,4,56,85,76,73,53,82,73,10,17,21,9,19,4,623,0.3547351524879615,0.20224719101123595,0.24879614767255218,0.12841091492776885
101061544,3,54,87,99,47,45,42,22,11,10,7,12,9,12,497,0.48893360160965793,0.1851106639839034,0.12877263581488935,0.1227364185110664
102011028,3,59,115,173,147,128,233,234,48,41,21,22,13,14,1288,0.2717391304347826,0.21350931677018634,0.36257763975155277,0.1234472049689441
102011029,14,141,180,317,219,176,248,168,29,18,22,28,17,8,1621,0.4022208513263418,0.24367674275138804,0.256631708821715,0.07526218383713756
102011030,0,48,116,128,98,90,92,44,13,13,14,9,3,15,708,0.4124293785310734,0.2655367231638418,0.192090395480226,0.09463276836158192
102011031,16,214,304,494,289,344,422,291,59,50,51,39,39,23,2740,0.37518248175182484,0.23102189781021898,0.2602189781021898,0.09525547445255475
102011032,18,155,293,515,370,457,681,627,136,141,133,130,112,77,3988,0.24598796389167502,0.20737211634904715,0.3279839518555667,0.18279839518555668
102011033,0,44,79,143,143,214,232,130,23,12,13,11,16,3,1120,0.2375,0.31875,0.32321428571428573,0.06964285714285715
102011034,18,97,145,208,114,109,178,127,21,21,22,8,15,6,1108,0.4223826714801444,0.20126353790613719,0.2752707581227437,0.08393501805054152
102011035,3,43,104,194,150,173,226,132,23,9,11,8,10,10,1125,0.30577777777777776,0.2871111111111111,0.31822222222222224,0.06311111111111112
102011036,0,58,119,212,157,189,221,129,15,17,18,17,17,5,1228,0.31677524429967424,0.28175895765472314,0.28501628664495116,0.0724755700325733
102011037,3,56,109,200,146,182,243,120,22,25,12,6,12,8,1189,0.30950378469301937,0.27586206896551724,0.30529857022708157,0.07148864592094197
102011038,4,59,144,150,117,123,120,77,12,14,4,16,17,10,889,0.4015748031496063,0.26996625421822273,0.2215973003374578,0.08211473565804274
102011039,13,127,242,401,311,289,425,355,56,73,49,62,57,28,2567,0.30502532138683286,0.2337358784573432,0.30385664199454615,0.12660693416439422
102011040,26,249,427,626,502,410,472,399,59,78,70,54,40,32,3575,0.3714685314685315,0.2551048951048951,0.24363636363636362,0.09314685314685314
102011041,14,70,152,227,151,151,227,142,35,20,29,14,22,11,1306,0.3545176110260337,0.23124042879019907,0.28254211332312407,0.1003062787136294
102011042,16,133,236,410,251,303,331,267,37,54,63,45,56,20,2317,0.3431160984031075,0.239102287440656,0.25809236081139403,0.11868795856711264
