,state,divisionnm_x,pollingplaceid,pollingplacenm,premisesnm,premisessuburb,premisespostcode,latitude,longitude,liberal/national coalition votes,liberal/national coalition percentage,australian labor party votes,australian labor party percentage,totalvotes,SA2_MAIN16,SA2_NAME16,GCC_CODE16,STE_NAME16,AREASQKM16
0,ACT,Bean,93925,Belconnen BEAN PPVC,Belconnen Community Centre,BELCONNEN,2900.0,-35.23893029999999,149.069655,288,40.79,418,59.21,706,801011002,Belconnen,8ACTE,Australian Capital Territory,4.4261
1,ACT,Bean,93927,BLV Bean PPVC,BLV Canberra,CANBERRA CITY,2601.0,-35.27733370000001,149.1268694,2,15.38,11,84.62,13,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
2,ACT,Bean,11877,Bonython,Bonython Primary School,BONYTHON,2905.0,-35.4318,149.083,504,37.89,826,62.11,1330,801071072,Bonython,8ACTE,Australian Capital Territory,2.9045
3,ACT,Bean,11452,Calwell,Calwell High School,CALWELL,2905.0,-35.440670000000004,149.1176,794,42.1,1092,57.9,1886,801071073,Calwell,8ACTE,Australian Capital Territory,3.8922
4,ACT,Bean,8761,Chapman,Chapman Primary School,CHAPMAN,2611.0,-35.3564,149.042,804,36.4,1405,63.6,2209,801081091,Chapman,8ACTE,Australian Capital Territory,1.8558
5,ACT,Bean,8763,Chisholm,Caroline Chisholm School,CHISHOLM,2905.0,-35.4195217,149.12253859999998,625,43.65,807,56.35,1432,801071074,Chisholm,8ACTE,Australian Capital Territory,3.1046
6,ACT,Bean,93916,City (Bean),Pilgrim House,CANBERRA CITY,2601.0,-35.2767018,149.1290814,26,28.26,66,71.74,92,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
7,ACT,Bean,93922,City BEAN PPVC,Canberra Museum and Gallery,CANBERRA CITY,2601.0,-35.2805169,149.13086140000001,888,36.85,1522,63.15,2410,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
8,ACT,Bean,31298,Conder,Charles Conder Primary School,CONDER,2906.0,-35.4649,149.09799999999998,921,44.8,1135,55.2,2056,801071075,Conder,8ACTE,Australian Capital Territory,4.5237
9,ACT,Bean,83835,Conder North,Saint Clare of Assisi Primary School,CONDER,2906.0,-35.4597283,149.0947893,431,46.05,505,53.95,936,801071075,Conder,8ACTE,Australian Capital Territory,4.5237
10,ACT,Bean,82523,Coombs,Charles Weston School,COOMBS,2611.0,-35.3226028,149.04284840000003,749,35.68,1350,64.32,2099,801101135,Coombs,8ACTE,Australian Capital Territory,2.3179
11,ACT,Bean,93906,Curtin (Bean),Curtin Primary School,CURTIN,2605.0,-35.3314386,149.0803543,86,37.39,144,62.61,230,801091100,Curtin,8ACTE,Australian Capital Territory,4.8079
12,ACT,Bean,93932,Divisional Office (PREPOLL),Divisional Office,CANBERRA CITY,2601.0,-35.27733370000001,149.1268694,33,44.59,41,55.41,74,801051053,Civic,8ACTE,Australian Capital Territory,1.4309
13,ACT,Bean,8767,Duffy,Duffy Primary School,DUFFY,2611.0,-35.3347,149.032,493,28.76,1221,71.24,1714,801081092,Duffy,8ACTE,Australian Capital Territory,2.7964
14,ACT,Bean,8768,Fadden,Fadden Primary School,FADDEN,2904.0,-35.4044,149.118,759,45.18,921,54.82,1680,801071076,Fadden,8ACTE,Australian Capital Territory,3.1064
