Data Item,Statistical Area Level 2 (SA2) (2016 ASGS),SA2 Code (2016 ASGS),Mar-19,Jun-19,Sep-19,Dec-19
Smoothed unemployment rate (%),Braidwood,101021007,3.6,3.3,3.2,2.9
Smoothed unemployment rate (%),Karabar,101021008,4.3,3.9,3.7,3.4
Smoothed unemployment rate (%),Queanbeyan,101021009,3.7,3.2,2.8,2.5
Smoothed unemployment rate (%),Queanbeyan - East,101021010,3,2.6,2.1,1.8
Smoothed unemployment rate (%),Queanbeyan Region,101021011,0.9,0.8,0.8,0.7
Smoothed unemployment rate (%),Queanbeyan West - Jerrabomberra,101021012,1.3,1.1,1,0.9
Smoothed unemployment rate (%),Bombala,101031013,4.8,4.5,4,3.4
Smoothed unemployment rate (%),Cooma,101031014,7.7,7.4,7,6.2
Smoothed unemployment rate (%),Cooma Region,101031015,2.9,2.4,2.3,2.1
Smoothed unemployment rate (%),Jindabyne - Berridale,101031016,2.1,1.8,1.6,1.4
Smoothed unemployment rate (%),Batemans Bay,101041017,14.4,13,11.7,9.9
Smoothed unemployment rate (%),Batemans Bay - South,101041018,9.1,8.4,7.8,6.9
Smoothed unemployment rate (%),Bega - Tathra,101041019,6.8,5.9,5.3,4.9
Smoothed unemployment rate (%),Bega-Eden Hinterland,101041020,6.9,6.2,5.6,4.9
Smoothed unemployment rate (%),Broulee - Tomakin,101041021,5.6,5.1,4.8,4.4
Smoothed unemployment rate (%),Eden,101041023,10,9.1,8.1,7
Smoothed unemployment rate (%),Eurobodalla Hinterland,101041024,6,5.6,5.6,5.4
Smoothed unemployment rate (%),Merimbula - Tura Beach,101041025,4.7,4.2,4,3.7
Smoothed unemployment rate (%),Moruya - Tuross Head,101041026,9.6,8.5,7.6,6.6
Smoothed unemployment rate (%),Narooma - Bermagui,101041027,9.2,8.5,8.1,7.3
Smoothed unemployment rate (%),Goulburn,101051539,7.2,6.6,6.1,5.3
Smoothed unemployment rate (%),Goulburn Region,101051540,3.4,3.1,3,2.7
Smoothed unemployment rate (%),Yass,101061541,4,3.6,3.3,2.9
Smoothed unemployment rate (%),Yass Region,101061542,1.6,1.5,1.5,1.4
Smoothed unemployment rate (%),Young,101061543,8.9,8.1,7.4,6.7
Smoothed unemployment rate (%),Young Region,101061544,5.8,5.2,4.7,4.1
Smoothed unemployment rate (%),Avoca Beach - Copacabana,102011028,1.5,1.5,1.4,1.3
Smoothed unemployment rate (%),Box Head - MacMasters Beach,102011029,2.3,2.3,2.2,2.1
Smoothed unemployment rate (%),Calga - Kulnura,102011030,2.4,2.5,2.4,2.3
Smoothed unemployment rate (%),Erina - Green Point,102011031,2.8,2.8,2.5,2.3
Smoothed unemployment rate (%),Gosford - Springfield,102011032,6.1,6.3,6,5.7
Smoothed unemployment rate (%),Kariong,102011033,3.1,3.2,3.2,3.2
Smoothed unemployment rate (%),Kincumber - Picketts Valley,102011034,3.9,3.9,3.6,3.2
Smoothed unemployment rate (%),Narara,102011035,4.3,4.3,4.1,3.9
Smoothed unemployment rate (%),Niagara Park - Lisarow,102011036,3.1,3.2,3,2.8
Smoothed unemployment rate (%),Point Clare - Koolewong,102011037,4.1,4.1,3.8,3.6
Smoothed unemployment rate (%),Saratoga - Davistown,102011038,2.2,2.3,2.2,2.1
Smoothed unemployment rate (%),Terrigal - North Avoca,102011039,2,2,1.8,1.7
Smoothed unemployment rate (%),Umina - Booker Bay - Patonga,102011040,6.7,7.1,6.8,6.5
Smoothed unemployment rate (%),Wamberal - Forresters Beach,102011041,1.9,1.9,1.7,1.6
Smoothed unemployment rate (%),Woy Woy - Blackwall,102011042,7.4,7.8,7.9,7.8
Smoothed unemployment rate (%),Wyoming,102011043,6.1,6.4,6.2,6
Smoothed unemployment rate (%),Bateau Bay - Killarney Vale,102021044,5.5,5.5,5.1,4.9
Smoothed unemployment rate (%),Blue Haven - San Remo,102021045,9.8,10.5,10.3,10
Smoothed unemployment rate (%),Budgewoi - Buff Point - Halekulani,102021046,7.9,8.4,8,7.4
Smoothed unemployment rate (%),Chittaway Bay - Tumbi Umbi,102021047,4,4.1,3.9,3.8
Smoothed unemployment rate (%),Gorokan - Kanwal - Charmhaven,102021048,9.2,9.4,9.1,8.9
Smoothed unemployment rate (%),Jilliby - Yarramalong,102021049,6.1,6.5,6.2,5.6
Smoothed unemployment rate (%),Lake Munmorah - Mannering Park,102021050,5.1,5.4,5.2,5
Smoothed unemployment rate (%),Ourimbah - Fountaindale,102021051,2.9,3,2.8,2.6
Smoothed unemployment rate (%),Summerland Point - Gwandalan,102021052,5,5.2,5,4.7
Smoothed unemployment rate (%),The Entrance,102021053,9.2,9.8,9.5,9.1
Smoothed unemployment rate (%),Toukley - Norah Head,102021054,7.4,7.9,8,7.6
Smoothed unemployment rate (%),Tuggerah - Kangy Angy,102021055,4.6,4.9,4.9,4.7
Smoothed unemployment rate (%),Warnervale - Wadalba,102021056,4.3,4.4,4.3,4.1
Smoothed unemployment rate (%),Wyong,102021057,11.6,11.9,11.8,11.1
Smoothed unemployment rate (%),Bathurst,103011058,5.5,4.7,3.6,3.2
Smoothed unemployment rate (%),Bathurst - East,103011059,4.8,4.1,3.2,2.8
Smoothed unemployment rate (%),Bathurst Region,103011060,2.7,2.1,1.5,1.3
Smoothed unemployment rate (%),Oberon,103011061,3.7,3.2,2.5,2.3
Smoothed unemployment rate (%),Condobolin,103021062,7.4,6.3,5.1,4.8
Smoothed unemployment rate (%),Cowra,103021063,9,7.6,6,5.6
Smoothed unemployment rate (%),Cowra Region,103021064,5.8,5,3.9,3.6
Smoothed unemployment rate (%),Forbes,103021065,4.9,4.2,3.2,3
Smoothed unemployment rate (%),Grenfell,103021066,3.9,3.4,2.8,2.8
Smoothed unemployment rate (%),Parkes (NSW),103021067,7,5.9,4.6,4.1
Smoothed unemployment rate (%),Parkes Region,103021068,7,5.9,4.6,4.6
Smoothed unemployment rate (%),West Wyalong,103021069,4.1,3.5,2.6,2.2
Smoothed unemployment rate (%),Lithgow,103031070,8.7,7.3,5.7,5.2
Smoothed unemployment rate (%),Lithgow Region,103031071,5.2,4.3,3.3,2.9
Smoothed unemployment rate (%),Mudgee,103031072,5.5,4.6,3.4,3
Smoothed unemployment rate (%),Mudgee Region - East,103031073,7.4,6.1,4.8,4.6
Smoothed unemployment rate (%),Mudgee Region - West,103031074,4.6,3.8,3,2.8
Smoothed unemployment rate (%),Blayney,103041076,4.2,3.6,2.8,2.5
Smoothed unemployment rate (%),Orange,103041077,7.6,6.5,5,4.6
Smoothed unemployment rate (%),Orange - North,103041078,3.5,3.1,2.4,2.3
Smoothed unemployment rate (%),Orange Region,103041079,2,1.6,1.2,1.2
