sa2_maincode_2016,unemployment_mar_19,unemployment_jun_19
101021007,3.6,3.3
101021008,4.3,3.9
101021009,3.7,3.2
101021010,3.0,2.6
101021011,0.9,0.8
101021012,1.3,1.1
101031013,4.8,4.5
101031014,7.7,7.4
101031015,2.9,2.4
101031016,2.1,1.8
101041017,14.4,13.0
101041018,9.1,8.4
101041019,6.8,5.9
101041020,6.9,6.2
101041021,5.6,5.1
101041023,10.0,9.1
101041024,6.0,5.6
101041025,4.7,4.2
101041026,9.6,8.5
101041027,9.2,8.5
101051539,7.2,6.6
101051540,3.4,3.1
101061541,4.0,3.6
101061542,1.6,1.5
101061543,8.9,8.1
101061544,5.8,5.2
102011028,1.5,1.5
102011029,2.3,2.3
102011030,2.4,2.5
102011031,2.8,2.8
102011032,6.1,6.3
102011033,3.1,3.2
102011034,3.9,3.9
102011035,4.3,4.3
102011036,3.1,3.2
102011037,4.1,4.1
102011038,2.2,2.3
102011039,2.0,2.0
102011040,6.7,7.1
102011041,1.9,1.9
102011042,7.4,7.8
102011043,6.1,6.4
102021044,5.5,5.5
102021045,9.8,10.5
102021046,7.9,8.4
102021047,4.0,4.1
102021048,9.2,9.4
102021049,6.1,6.5
102021050,5.1,5.4
102021051,2.9,3.0
102021052,5.0,5.2
102021053,9.2,9.8
102021054,7.4,7.9
102021055,4.6,4.9
102021056,4.3,4.4
102021057,11.6,11.9
103011058,5.5,4.7
103011059,4.8,4.1
103011060,2.7,2.1
103011061,3.7,3.2
103021062,7.4,6.3
103021063,9.0,7.6
103021064,5.8,5.0
103021065,4.9,4.2
103021066,3.9,3.4
103021067,7.0,5.9
103021068,7.0,5.9
103021069,4.1,3.5
103031070,8.7,7.3
103031071,5.2,4.3
103031072,5.5,4.6
103031073,7.4,6.1
103031074,4.6,3.8
103041076,4.2,3.6
103041077,7.6,6.5
103041078,3.5,3.1
103041079,2.0,1.6
104011080,12.0,10.6
104011081,9.0,8.0
104011082,7.4,6.5
104021083,7.7,6.6
104021084,9.4,8.4
104021085,11.3,10.2
104021086,5.3,4.7
104021087,9.6,8.5
104021088,3.7,3.3
104021089,7.3,6.3
104021090,7.7,6.5
104021091,7.1,6.1
105011092,4.2,5.3
105011093,1.3,1.5
105011094,4.4,5.4
105011095,2.5,2.9
105011096,5.4,6.7
105021097,3.0,3.7
105021098,3.8,4.6
105031099,2.8,3.4
105031100,2.3,2.8
105031101,1.5,1.7
105031102,2.4,2.9
105031103,0.7,0.8
105031104,2.7,3.4
105031105,2.4,2.8
105031106,3.4,4.1
106011107,3.2,3.2
106011108,9.5,9.4
106011109,4.6,4.7
106011110,4.1,4.0
106011111,8.3,8.5
106011112,4.8,4.9
106011113,3.1,2.9
106021114,6.1,6.2
106021115,4.9,5.0
106021116,1.8,1.9
106021117,5.4,5.5
106021118,2.6,2.7
106031119,4.7,4.9
106031120,8.1,7.8
106031121,4.8,4.8
