,SA2_MAIN16,STE_NAME16,GCC_CODE16,liberal/national coalition votes,australian labor party votes,totalvotes
0,101021007,New South Wales,1RNSW,655,850,1505
1,101021008,New South Wales,1RNSW,600,937,1537
2,101021009,New South Wales,1RNSW,7954,9937,17891
3,101021010,New South Wales,1RNSW,756,1040,1796
4,101021011,New South Wales,1RNSW,3023,3052,6075
5,101021012,New South Wales,1RNSW,1818,1772,3590
6,101031013,New South Wales,1RNSW,633,404,1037
7,101031014,New South Wales,1RNSW,3313,2584,5897
8,101031015,New South Wales,1RNSW,369,234,603
9,101031016,New South Wales,1RNSW,1794,1315,3109
10,101041017,New South Wales,1RNSW,5083,4898,9981
11,101041018,New South Wales,1RNSW,979,1011,1990
12,101041019,New South Wales,1RNSW,3119,3932,7051
13,101041020,New South Wales,1RNSW,1257,1836,3093
14,101041021,New South Wales,1RNSW,645,831,1476
15,101041023,New South Wales,1RNSW,906,695,1601
16,101041024,New South Wales,1RNSW,435,516,951
17,101041025,New South Wales,1RNSW,3918,3556,7474
18,101041026,New South Wales,1RNSW,1487,2055,3542
19,101041027,New South Wales,1RNSW,2866,3268,6134
20,101051539,New South Wales,1RNSW,10432,7158,17590
21,101051540,New South Wales,1RNSW,2597,1298,3895
22,101061541,New South Wales,1RNSW,2767,2661,5428
23,101061542,New South Wales,1RNSW,2479,2132,4611
24,101061543,New South Wales,1RNSW,5313,2192,7505
25,101061544,New South Wales,1RNSW,1835,931,2766
26,102011028,New South Wales,1GSYD,1277,1338,2615
27,102011029,New South Wales,1GSYD,1247,1155,2402
28,102011030,New South Wales,1GSYD,1282,742,2024
29,102011031,New South Wales,1GSYD,3908,2720,6628
30,102011032,New South Wales,1GSYD,8860,7618,16478
31,102011033,New South Wales,1GSYD,1422,1273,2695
32,102011034,New South Wales,1GSYD,6440,4642,11082
33,102011035,New South Wales,1GSYD,715,621,1336
34,102011036,New South Wales,1GSYD,951,851,1802
35,102011037,New South Wales,1GSYD,1115,1169,2284
36,102011038,New South Wales,1GSYD,1563,1012,2575
37,102011039,New South Wales,1GSYD,4171,3212,7383
38,102011040,New South Wales,1GSYD,3794,4250,8044
39,102011041,New South Wales,1GSYD,2289,1553,3842
40,102011042,New South Wales,1GSYD,8060,7885,15945
41,102011043,New South Wales,1GSYD,2085,2578,4663
42,102021044,New South Wales,1GSYD,3784,4233,8017
43,102021045,New South Wales,1GSYD,1353,2376,3729
44,102021046,New South Wales,1GSYD,1760,2165,3925
45,102021047,New South Wales,1GSYD,2865,3087,5952
46,102021048,New South Wales,1GSYD,3232,4578,7810
47,102021049,New South Wales,1GSYD,551,472,1023
48,102021050,New South Wales,1GSYD,2124,2242,4366
49,102021051,New South Wales,1GSYD,872,795,1667
50,102021052,New South Wales,1GSYD,1431,1400,2831
51,102021053,New South Wales,1GSYD,8058,7641,15699
52,102021054,New South Wales,1GSYD,1623,2046,3669
53,102021055,New South Wales,1GSYD,959,1161,2120
54,102021056,New South Wales,1GSYD,7958,8670,16628
55,102021057,New South Wales,1GSYD,5749,6060,11809
56,103011058,New South Wales,1RNSW,13408,8697,22105
57,103011059,New South Wales,1RNSW,1233,932,2165
58,103011060,New South Wales,1RNSW,1099,566,1665
59,103011061,New South Wales,1RNSW,1229,599,1828
60,103021062,New South Wales,1RNSW,2162,788,2950
61,103021063,New South Wales,1RNSW,4562,2065,6627
62,103021064,New South Wales,1RNSW,1456,480,1936
63,103021065,New South Wales,1RNSW,4325,1406,5731
64,103021066,New South Wales,1RNSW,1446,393,1839
65,103021067,New South Wales,1RNSW,4932,1947,6879
66,103021068,New South Wales,1RNSW,799,337,1136
67,103021069,New South Wales,1RNSW,2630,518,3148
68,103031070,New South Wales,1RNSW,5347,4100,9447
69,103031071,New South Wales,1RNSW,1781,1098,2879
70,103031072,New South Wales,1RNSW,7251,3585,10836
71,103031073,New South Wales,1RNSW,925,611,1536
72,103031074,New South Wales,1RNSW,1645,828,2473
73,103041076,New South Wales,1RNSW,2238,1076,3314
74,103041077,New South Wales,1RNSW,15145,8407,23552
75,103041078,New South Wales,1RNSW,1734,993,2727
76,103041079,New South Wales,1RNSW,3271,1246,4517
77,104011080,New South Wales,1RNSW,10753,5820,16573
78,104011081,New South Wales,1RNSW,2261,1231,3492
79,104011082,New South Wales,1RNSW,7084,3900,10984
80,104021083,New South Wales,1RNSW,881,1871,2752
81,104021084,New South Wales,1RNSW,2283,1677,3960
82,104021085,New South Wales,1RNSW,13156,8515,21671
83,104021086,New South Wales,1RNSW,769,558,1327
84,104021087,New South Wales,1RNSW,812,613,1425
85,104021088,New South Wales,1RNSW,1283,909,2192
86,104021089,New South Wales,1RNSW,4450,3175,7625
87,104021090,New South Wales,1RNSW,1303,1100,2403
88,104021091,New South Wales,1RNSW,3415,2817,6232
89,105011092,New South Wales,1RNSW,794,650,1444
90,105011093,New South Wales,1RNSW,1429,709,2138
91,105011094,New South Wales,1RNSW,841,837,1678
92,105011095,New South Wales,1RNSW,1616,647,2263
93,105011096,New South Wales,1RNSW,1313,994,2307
94,105021097,New South Wales,1RNSW,3982,6696,10678
95,105021098,New South Wales,1RNSW,164,308,472
96,105031099,New South Wales,1RNSW,2266,1564,3830
97,105031100,New South Wales,1RNSW,2796,1374,4170
98,105031101,New South Wales,1RNSW,14502,5890,20392
99,105031102,New South Wales,1RNSW,1214,567,1781
100,105031103,New South Wales,1RNSW,500,165,665
101,105031104,New South Wales,1RNSW,1294,500,1794
102,105031105,New South Wales,1RNSW,1927,716,2643
103,105031106,New South Wales,1RNSW,2467,1273,3740
104,106011107,New South Wales,1RNSW,1813,1876,3689
105,106011108,New South Wales,1RNSW,6631,8331,14962
106,106011109,New South Wales,1RNSW,1110,1295,2405
107,106011110,New South Wales,1RNSW,2767,1629,4396
108,106011111,New South Wales,1RNSW,3656,6908,10564
109,106011112,New South Wales,1RNSW,5809,5297,11106
110,106011113,New South Wales,1RNSW,669,461,1130
111,106021114,New South Wales,1RNSW,910,1464,2374
112,106021115,New South Wales,1RNSW,11553,13925,25478
113,106021116,New South Wales,1RNSW,1692,1404,3096
114,106021117,New South Wales,1RNSW,5295,7736,13031
115,106021118,New South Wales,1RNSW,1761,2378,4139
116,106031119,New South Wales,1RNSW,900,931,1831
117,106031120,New South Wales,1RNSW,1396,1535,2931
118,106031121,New South Wales,1RNSW,8967,6649,15616
119,106031122,New South Wales,1RNSW,6087,7047,13134
120,106031123,New South Wales,1RNSW,1322,858,2180
121,106031124,New South Wales,1RNSW,1745,908,2653
122,106031125,New South Wales,1RNSW,2880,2866,5746
123,106041126,New South Wales,1RNSW,5051,4537,9588
124,106041127,New South Wales,1RNSW,525,494,1019
125,106041128,New South Wales,1RNSW,2028,903,2931
126,106041129,New South Wales,1RNSW,1855,812,2667
127,107011131,New South Wales,1RNSW,7152,14137,21289
128,107011132,New South Wales,1RNSW,841,1719,2560
129,107011134,New South Wales,1RNSW,2292,3765,6057
130,107011545,New South Wales,1RNSW,1167,4155,5322
131,107011546,New South Wales,1RNSW,1003,3033,4036
132,107011547,New South Wales,1RNSW,525,1016,1541
133,107031136,New South Wales,1RNSW,2190,3796,5986
134,107031137,New South Wales,1RNSW,708,1546,2254
135,107031138,New South Wales,1RNSW,4185,4331,8516
136,107031139,New South Wales,1RNSW,897,1100,1997
137,107031140,New South Wales,1RNSW,1513,1592,3105
138,107031141,New South Wales,1RNSW,2453,3653,6106
139,107031142,New South Wales,1RNSW,1503,2973,4476
140,107031143,New South Wales,1RNSW,7641,15296,22937
141,107041144,New South Wales,1RNSW,2845,4691,7536
142,107041145,New South Wales,1RNSW,5827,10785,16612
143,107041146,New South Wales,1RNSW,3359,5302,8661
144,107041147,New South Wales,1RNSW,1875,2294,4169
145,107041148,New South Wales,1RNSW,1773,3409,5182
146,107041150,New South Wales,1RNSW,2954,5571,8525
147,107041548,New South Wales,1RNSW,7592,12023,19615
148,107041549,New South Wales,1RNSW,1143,2645,3788
149,108011151,New South Wales,1RNSW,1246,756,2002
150,108011152,New South Wales,1RNSW,8947,4439,13386
151,108011153,New South Wales,1RNSW,1534,1050,2584
